,0
paintings-thmbnls150-fi.jpg,"('Odalisque with Gray Pants', 1927)"
paintings-thmbnls150-q_133.jpg,"('Persian with a Cross', 1929)"
paintings-thmbnls150-go.jpg,"('Tahiti Landscape', 1931)"
paintings-orient_211_thmb.jpg,"('Woman with a White Dress', 1934)"
paintings-thmbnls150-ey.jpg,"('Decorative Figure on an Ornamental Ground', 1934)"
paintings-thmbnls150-fk.jpg,"('Decorative Figure on an Ornamental Ground', 1934)"
paintings-thmbnls150-fl.jpg,"('The Dream', 1935)"
paintings-thmbnls150-fo.jpg,"('A Pink Nude Seated', 1935)"
paintings-thmbnls150-fj.jpg,"('An Nude Dtanding before an Open Door', 1936)"
paintings-thmbnls150-fm.jpg,"('A Nude with her Heel on her Knee', 1936)"
paintings-thmbnls150-fp.jpg,"('Woman on a Sofa, Yellow and Blue', 1936)"
paintings-thmbnls150-zp.jpg,"('Nude on a Blue Background', 1936)"
paintings-thmbnls150-bz.jpg,"('Woman in Blue / The Large Blue Robe and Mimosas', 1936)"
paintings-orient_213_thmb.jpg,"('Blue Dress Reflected in a Mirror', 1937)"
paintings-thmbnls150-de.jpg,"('Still Life with a Shell', 1940)"
paintings-thmbnls150-fr.jpg,"('Helen with a Precious Stone', 1937)"
paintings-thmbnls150-fq.jpg,"('The Arm', 1938)"
paintings-thmbnls150-q_152.jpg,"('Project for ""The Strana Forandola""', 1938)"
paintings-thmbnls150-fu.jpg,"('', 1939)"
paintings-thmbnls150-ft.jpg,"('The Romanian Green Bluse', 1939)"
paintings-thmbnls150-fs.jpg,"('Woman in Yellow and Blue with a Guitar', 1939)"
paintings-orient_214_thmb.jpg,"('The Daisies', 1939)"
paintings-thmbnls150-fw.jpg,"('Music', 1939)"
paintings-thmbnls150-ga.jpg,"('The Red Table', 1939)"
paintings-thmbnls150-dc.jpg,"('Young Girl with a Yellow Sofa', 1940)"
paintings-thmbnls150-gb.jpg,"('Interior with an Etruscan Vase', 1940)"
paintings-thmbnls150-dd.jpg,"('Still Life with Shellfish', 1940)"
paintings-thmbnls150-dg.jpg,"('Still Life with a Magnolia', 1941)"
paintings-thmbnls150-gc.jpg,"('Two Girls', 1941)"
paintings-thmbnls150-gi.jpg,"('Ivy in Flower', 1941)"
paintings-thmbnls150-df.jpg,"('Still Life with a Marble Table', 1941)"
paintings-thmbnls150-gd.jpg,"('Woman with a Veil', 1942)"
paintings-thmbnls150-gn.jpg,"('Woman on a Dark Background', 1942)"
paintings-thmbnls150-gm.jpg,"('The Dark Door', 1942)"
paintings-thmbnls150-fz.jpg,"('Young Girl in Rose', 1942)"
paintings-select-gp.jpg,"('A Study for The Armchair', 1942)"
paintings-thmbnls150-dh.jpg,"('Sunlit Interior', 1942)"
