,0
images-works-840_s.jpg,"('Head of Minotaur', 1937)"
images-works-33_s.jpg,"('Woman with a Crow', 1904)"
images-works-3085_s.jpg,"('D`Arlequin Bust', 1909)"
images-works-1107_s.jpg,"('Female bust', 1940)"
images-works-1828_s.jpg,"('Couple at the seaside [On the Beach]', 1928)"
images-works-1670_s.jpg,"('The woman with the cat', 1937)"
images-works-2291_s.jpg,"('Mother and Child', 1921)"
images-works-1718_s.jpg,"('Weeping Woman', 1937)"
images-works-2579_s.jpg,"('Mandolin on a pedestal', 1920)"
images-works-1543_s.jpg,"('Portrait of Lee Miller l`Arlesienne', 1937)"
images-works-1728_s.jpg,"('Weeping Woman with handkerchief III', 1937)"
images-works-2655_s.jpg,"('Head of Harlequin', 1923)"
images-works-3102_s.jpg,"('Head of a Woman', 1908)"
images-works-2187_s.jpg,"('Still Life with Fruit', 1939)"
images-works-1480_s.jpg,"('Portrait of Dora Maar', 1942)"
images-works-3001_s.jpg,"('Man with pipe', 1911)"
images-works-2011_s.jpg,"('Seated Woman', 1937)"
images-works-2991_s.jpg,"('Glass and', 1914)"
images-works-1951_s.jpg,"('Visage', 1926)"
images-works-1792_s.jpg,"('Female bust (Dora Maar)', 1938)"
images-works-3004_s.jpg,"('The fruit bowl', 1920)"
images-works-1535_s.jpg,"('Portrait of woman', 1937)"
images-works-2988_s.jpg,"('Violon, partition et journal', 1912)"
images-works-2303_s.jpg,"('Portrait of Paulo', 1922)"
images-works-1449_s.jpg,"('Head au poem', 1938)"
images-works-1439_s.jpg,"('Woman in gray', 1942)"
images-works-1793_s.jpg,"('Dora Maar sitting', 1939)"
images-works-1766_s.jpg,"('Female bust (Dora Maar)', 1942)"
images-works-2006_s.jpg,"('Portrait of Dora Maar', 1937)"
images-works-2167_s.jpg,"('Landscape', 1928)"
images-works-2851_s.jpg,"('Guitarist', 1916)"
images-works-3724_s.jpg,"('The woman with the cat', 1900)"
images-works-2415_s.jpg,"('Still Life with guitar on pedestal', 1922)"
images-works-1972_s.jpg,"('Woman leaning', 1938)"
images-works-3943_s.jpg,"('Nude, Green Leaves and Bust', 1932)"
images-works-3412_s.jpg,"('Boy with a Pipe', 1905)"
images-works-1621_s.jpg,"('Dora Maar with a cat', 1941)"
images-works-3584_s.jpg,"('Portrait of Angel F Soto', 1903)"
images-works-2172_s.jpg,"(""Woman Sitting Near a Window (Femme Assise Pres d'une Fenetre)"", 1932)"
images-works-4053_s.jpg,"('Seated Woman in Blue Dress', 1939)"
images-works-3956_s.jpg,"('Stilllife with tulips (Nature morte aux tulipes)', 1932)"
images-works-4070_s.jpg,"('Rest', 1932)"
images-works-2244_s.jpg,"('Profile female bust', 1932)"
images-works-1760_s.jpg,"('Woman sitting in an armchair', 1941)"
images-works-3634_s.jpg,"('Portrait of Germaine', 1902)"
images-works-2693_s.jpg,"(""Head and woman's hand"", 1921)"
images-works-3377_s.jpg,"('Harlequin Family', 1905)"
images-works-1702_s.jpg,"('Woman with Hat (Dora Maar)', 1938)"
images-works-2628_s.jpg,"('Mandolin and musical scope', 1923)"
images-works-1845_s.jpg,"('Still life with fishing net', 1925)"
images-works-2862_s.jpg,"('Guitar, Glass, Bottle of old brandy', 1912)"
images-works-1966_s.jpg,"('Minotaur blind guide by a little girl', 1934)"
images-works-4057_s.jpg,"('Apple', 1914)"
images-works-3481_s.jpg,"('Head of a Woman', 1900)"
